SOLD DATE,ADDRESS,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
August-14-2020,2437 NE 19th Ave,97212,887600,4,2.5,IRVINGTON,3752,4791,1926,6,237,0,45.5402085,-122.6466043
June-24-2020,2335 NE 48th Ave,97213,709000,6,3,ROSE CITY,3774,4791,1909,57,188,0,45.5396039,-122.6142079
March-4-2020,1744 NE Clackamas St,97232,845000,6,6,PORTLAND NORTHEAST,3780,4791,1908,169,224,0,45.5326962,-122.6474726
June-24-2020,4438 SW Hamilton Ter,97239,955000,4,2.5,HOMESTEAD,3791,4791,2002,57,252,0,45.4910936,-122.6806189
August-7-2020,2723 NE 9th Ave,97212,1105000,4,4,IRVINGTON,3794,4791,1927,13,291,0,45.5425741,-122.6568009
May-27-2020,5015 SW Dosch Rd,97239,650000,6,3,RALEIGH HILLS,3802,45302,1907,85,171,0,45.486754,-122.7107828
July-31-2020,4333 NE 32nd Ave,97211,810000,5,3,ALAMEDA,3814,4791,1922,20,212,0,45.554853,-122.6330954
June-4-2020,2547 NE 16th Ave,97212,1100000,4,4,IRVINGTON,3815,4791,1909,77,288,0,45.5412146,-122.6497201
April-7-2020,7418 SE 27th Ave,97202,1000000,4,3.5,EASTMORELAND,3816,5662,1929,135,262,0,45.4711694,-122.6351687
May-15-2020,4255 SW Bertha Ave,97239,1730000,4,3.5,HEALY HEIGHTS,3824,10018,1955,97,452,0,45.492423,-122.701856
May-28-2020,917 SW Chestnut St,97219,842500,5,3.5,BURLINGAME,3836,19166,1941,84,220,0,45.4757647,-122.6879509
June-18-2020,3512 SW Beaverton Ave,97239,1580000,4,3.5,COUNCIL CREST,3836,56628,1939,63,412,0,45.4975921,-122.7036397
July-16-2020,2820 NW Cornell Rd,97210,1375000,5,4,RALEIGH HILLS,3838,7405,1925,35,358,0,45.532752,-122.7093464
August-11-2020,5949 NE 24th Ave,97211,567875,4,3,CONCORDIA,3845,5662,1939,9,148,0,45.5660302,-122.6415974
August-11-2020,6705 SE Ash Pl,97215,968000,5,3.5,MT TABOR,3854,16988,1982,9,251,0,45.5219237,-122.5945265
February-28-2020,135 SE 12th Ave,97214,540000,3,2,BUCKMAN,3857,2178,1894,174,140,0,45.521617,-122.6538349
July-15-2020,2334 SE Main St,97214,674425,4,1.5,HAWTHORNE,3858,6098,1906,36,175,0,45.5133781,-122.6417162
February-28-2020,928 SE 18th Ave,97214,1090000,3,2.5,BUCKMAN,3860,9583,1909,174,282,0,45.5160251,-122.6473053
July-30-2020,4430 SW Council Crest Dr,97239,835000,4,3,COUNCIL CREST,3899,8712,1960,21,214,0,45.4910474,-122.6965116
March-2-2020,921 SW Davenport St,97201,1375000,3,3.5,PORTLAND HEIGHTS,3950,8712,1964,171,348,0,45.5055767,-122.6877199
July-6-2020,1804 SE 23rd Ave,97214,1155000,3,2.5,COLONIAL HEIGHTS,3951,7405,1923,45,292,0,45.5103184,-122.6419062
April-10-2020,3309 NW Thurman St,97210,1175000,4,3.5,RALEIGH HILLS,3967,4356,1909,132,296,0,45.5360167,-122.7159553
June-8-2020,3287 NE Bryce St,97212,925000,5,4,ALAMEDA,3970,9147,1910,73,233,0,45.5504301,-122.6308046
July-2-2020,2930 SE Claybourne St,97202,1000000,4,3.5,EASTMORELAND,3971,5662,1941,49,252,0,45.473513,-122.6327197
March-6-2020,1722 SW Vista Ave,97201,1400000,4,3.5,PORTLAND HEIGHTS,3972,5662,2017,167,352,0,45.515769,-122.6966442
